行政區,型式,場名,位置,經度,緯度,大型車,小型車,機慢車,收費標準,管理者資訊
鳳山區,平面,鳳山田中央,鳳頂路&田中央路,120.359333,22.594589,0,28,10,計次(30元/6小時),中工公寓大廈管理維護有限公司/服務電話:0800-618198/履約期間:108.8.19-113.8.31
鳳山區,平面,"鳳山行政中心
西側",光復路二段&建軍路口,120.342210,22.629510,0,317,186,計時(15元/半小時),俥亭停車事業股份有限公司/服務電話:(07)7161838/履約期間:108.1.1-112.12.31
鳳山區,平面,五甲,國光路65巷&國光路,120.350750,22.619419,0,45,0,計次(30元/6小時),和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.10.1-114.9.30
鳳山區,平面,五甲社區,國富路&國富路21巷口北側,120.350329,22.615336,0,176,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568/履約期間:108.4.1-113.3.31
鳳山區,平面,五甲七老爺,五甲二路105巷&五甲二路149巷,120.341213,22.600308,22,77,0,"大型車計時30元/半小時
小型車計時(15元/半小時)",竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568/履約期間:108.7.31-113.7.31
鳳山區,平面,北昌路,北昌二街&北昌路,120.372430,22.645779,0,106,67,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,鳳陽,瑞智街&瑞大街,120.370014,22.631674,0,37,20,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,國泰青年,光華路&協利街,120.348597,22.623721,0,514,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,中崙,中崙二路&中崙三路,120.352514,22.603646,0,150,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,鳳甲,鳳甲二街&過埤路,120.343114,22.596350,0,80,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,頂新,頂庄路&頂新五街,120.364971,22.588327,0,26,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,頂明,頂庄路&頂明路,120.355031,22.588619,0,56,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,南成,南和一路&和成路,120.338333,22.590557,0,73,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,福誠,福誠三街&福誠五街,120.323369,22.593667,0,46,52,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/履約期間：109.7.1-112.6.30
鳳山區,平面,瑞興,瑞光路&瑞光街,120.3706121,22.6311808,0,237,0,計次(30元/6小時),和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.6.1-116.11.30
鳳山區,平面,忠誠,鳳北路&鳳北路108巷&北榮街61巷,120.367006,22.641438,0,20,10,計次(30元/6小時),-
鳳山區,平面,黃埔新村,中山東路&維武路,120.364648,22.620390,0,49,0,計次(30元/6小時),-
鳳山區,平面,鳳頂,鳳頂路&過埤路,120.358715,22.590625,0,64,30,計次(30元/6小時),環球大宇宙太陽能工業有限公司維護管理/服務電話：0980-889-269/履約期間:110.6.1-120.4.30
鳳山區,平面,捷運鳳山站機車,捷運鳳山站1號旁,120.356273,22.625852,0,0,172,不收費,-
鳳山區,平面,捷運鳳山國中站機車,捷運鳳山國中站1號出口旁,120.370932,22.624442,0,0,294,不收費,-
鳳山區,平面,鳳山轉運站機車,鳳山轉運站北側&大東公園西側,120.364151,22.625697,0,0,102,不收費 ,-
鳳山區,平面,五甲停二機車,國光路&國昌路,120.353128,22.618451,0,0,42,不收費 ,-
鳳山區,平面,五甲停三機車,凱旋路&凱旋路341巷,120.347144,22.614674,0,0,91,不收費 ,-
鳥松區,平面,勞工公園,長庚路北側,120.358506,22.650639,0,198,292,計時(15元/半小時),和雲行動服務股份有限公司/服務電話:0800-024550；(02)25171453/履約期間:109.4.1-114.3.31
鳥松區,平面,永興,本華路&永善路口,120.340751,22.650987,0,45,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:(07)225-3643或0800-500-568履約期間:110.10.1-115.09.30
鳥松區,平面,觀湖,公園路&近山明街(消防隊旁),120.360088,22.655457,0,80,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/110.9.16-115.9.15
鳥松區,平面,澄清湖西側,澄清湖風景區大門左側,120.349278,22.653542,0,15,0,計次(30元/6小時),阜爾運通股份有限公司/服務電話：(07)223-9489/110.9.16-115.9.15
鳥松區,平面,神農,江埤路&美德二街,120.390184,22.652168,0,130,115,不收費,-
鳥松區,平面,育英,琅環二街&育成三街,120.358702,22.665936,0,52,0,不收費,-
鳥松區,平面,仁倉,美山路156號旁&神農路,120.391650,22.648870,8,16,0,不收費,-
鳥松區,平面,仁美,神農路&大同路(7-11對面斜坡),120.38101,22.657341,0,25,10,不收費,-
鳥松區,平面,松埔,松埔路37巷8弄及松埔路37巷,120.3823387,22.6607605,0,22,0,不收費,-
前鎮區,平面,君毅,正勤路旁(靠近君毅正勤社區之正勤路出入口),120.303816,22.602147,0,47,0,計次(30元/6小時),竑穗興業股份有限公司/服務電話:0800-208-333；((07)225-3643/履約期間:108.4.1-113.3.31
前鎮區,平面,英德,和平二路&英德街口旁,120.322347,22.613862,0,85,25,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)380-7433/履約期間:111.4.1-112.05.31
前鎮區,平面,沱江,管仲路&沱江街口,120.311992,22.606672,0,78,0,計時(15元/半小時),國雲科技股份有限公司/服務電話：0800-779979/履約期間:107.4.16-111.7.15
前鎮區,平面,中山正勤,中山三路&正勤路口旁,120.308319,22.603870,0,63,215,計時(15元/半小時),日月亭股份有限公司/服務電話:(07)380-7433/履約期間:109.11.1-114.10.31
前鎮區,平面,中華正勤,正勤路、中華五路,120.307007,22.603428,4,58,0,"小型車計時(15元/半小時)
大型車計時(30元/半小時)",-
前鎮區,平面,明義,草衙二路與中平路口,120.324232,22.576667,0,32,0,計次(30元/6小時),-
前鎮區,平面,獅甲,復興三路近中華五路,120.303883,22.606232,0,46,17,計時(15元/半小時),-
前鎮區,平面,德昌,德昌路、同安路,120.317067,22.583756,0,43,16,計次(30元/6小時),-
前鎮區,平面,后安,后安路、天倫街,120.321956,22.573622,0,73,0,計次(30元/6小時),-
前鎮區,平面,向榮,向榮街、崇安街,120.331000,22.571564,0,17,0,計次(30元/6小時),-
前鎮區,平面,管仲,管仲路、光華三路,120.313771,22.604613,0,229,50,計次(30元/6小時),-
前鎮區,平面,光華,光華三路、ㄧ心一路203巷,120.316827,22.606806,0,212,0,計次(30元/6小時),-
前鎮區,平面,瑞北,瑞北路、瑞恩街,120.329566,22.608906,0,27,0,計次(30元/6小時),-
前鎮區,平面,瑞福,瑞福路、瑞安街口,120.335410,22.607753,0,55,26,計次(30元/6小時),-
前鎮區,平面,瑞豐,"A區：瑞福路瑞豐國小對面(14格)
B區：瑞泰街近瑞福路口(21格)",120.335810,22.606554,0,35,34,計次(30元/6小時),-
前鎮區,平面,瑞昌,瑞隆路190巷4弄、瑞福路口,120.335735,22.606381,0,11,0,計次(30元/6小時),-
前鎮區,平面,瑞泰,瑞泰街近瑞福路,120.335052,22.607057,0,26,0,計次(30元/6小時),-
前鎮區,平面,崗山仔公園,前鎮區瑞豐國小對面,120.3370114,22.6058779,,100,,計時(15元/半小時),-
前鎮區,平面,鎮興,凱旋四路、鎮興路口,120.311334,22.592822,0,65,0,計次(30元/6小時),-
前鎮區,平面,鎮賢,鎮賢街52巷旁,120.309262,22.589858,0,23,20,計次(30元/6小時),-
前鎮區,平面,鎮榮,鎮榮街、鎮華街,120.309770,22.588912,0,60,0,計次(30元/6小時),-
前鎮區,平面,時代大道,中華五路與時代大道口,120.308948,22.596406,0,48,0,計時(15元/半小時),-
前鎮區,平面,民權二路,民權二路、衡山街,120.313094,22.609261,0,47,0,計時(15元/半小時),-
前鎮區,平面,成功二路,成功二路、時代大道口,120.304855,22.595218,,63,31,計時(15元/半小時),-
前鎮區,平面,凱旋三路,凱旋三路與賢明路,120.325154,22.608440,0,24,22,計次(30元/6小時),-
前鎮區,平面,凱旋四路,中華五路、凱旋四路口,120.31161,22.59448,0,150,61,計時(15元/半小時),-
前鎮區,平面,捷運前鎮高中站機車,鎮中路、翠亨北路口,120.322356,22.587416,0,0,188,不收費,-
前鎮區,平面,新光,成功路高雄展覽館旁,120.299849,22.607547,69,911,578,"平日：大車計時（30元/半小時）,小車計時（15元/半小時）,機車計次（15元/日）
假日：大車計時（40元/半小時）,小車計時（20元/半小時）,機車計次（30元/日）",-
旗津區,平面,旗津老街,發祥街與旗津三路口,120.268098,22.610511,0,105,0,週一至週四計次(50元/6小時)；週五六日及國定假日計時(25元/半小時),-
旗津區,平面,旗津海岸,旗津海水浴場旁,120.269270,22.608677,22,92,0,"週一至週四：大車計次(100元/6小時)；小車計次（50元/6小時)
週五六日及國定假日：大車計時第1小時(50元/半小時)，第2小時起(100元/半小時)；小型車計時(25元/半小時)",-
旗津區,平面,中洲,中洲二路、中洲二路204號旁,120.291044,22.582749,0,23,40,週五六日計次(30元/6小時),-
旗津區,平面,中興市場,廣澤街、商港街,120.296518,22.573949,0,18,0,週五六日計次(30元/6小時),-
小港區,平面,松崗,松崗路、松崗路18巷,120.374217,22.574795,0,19,14,計次(30元/6小時),-
小港區,平面,中光,中光街、中光街22巷,120.355798,22.571586,0,25,0,計次(30元/6小時),-
小港區,平面,店北,店北路、店鳳街,120.351518,22.562744,0,21,0,計次(30元/6小時),-
小港區,平面,二苓,二苓路176巷,120.349662,22.566126,0,12,24,計次(30元/6小時),-
小港區,平面,華山,華山路、華仁街口,120.366209,22.568078,0,31,0,計次(30元/6小時),-
小港區,平面,鳳興,鳳盛街38號對面,120.348137,22.524321,0,17,0,不收費,-
小港區,平面,龍鳳,龍鳳街、朝福街,120.357175,22.513435,0,30,0,不收費,-
小港區,平面,小港鳳陽,鳳陽街18巷及6巷間,120.370225,22.562484,0,20,0,不收費,-
小港區,平面,港興社區,小港路90巷3弄、120巷,120.342104,22.566490,0,45,0,計次(30元/6小時),-
小港區,平面,平和,平和路、平和南路,120.335809,22.562514,0,46,0,計次(30元/6小時),"環球大宇宙太陽能工業有限公司維護管理/服務電話：0980-889-269/履約期間:110.6.1-120.4.30
履約期間:110.6.1-120.4.30"
小港區,平面,高坪,"A區：高坪7路、高坪22路
B區：高坪23路、高坪32街","120.388886
120.381135","22.561164
22.556462",0,89,0,不收費,全盈光電有限公司維護管理/服務電話：0800-035-518/履約期間:111.9.1-121.7.31
大寮區,平面,仁德116,大寮地政對面,120.394308,22.601793,0,145,103,不收費,全盈光電有限公司維護管理/服務電話：0800-035-518/履約期間:111.9.1-121.7.31
大寮區,平面,大寮停二,中山高級工商職業學校對面,120.394308,22.601793,44,130,0,"大型車計時(30元/半小時)
小型車計時(15元/半小時)",竑穗興業股份有限公司/服務電話:0800-208-333；((07)225-3643/履約期間:110.7.1-115.12.31
林園區,平面,林園田中央,東林西路249巷,120.388879,22.501031,0,45,0,不收費,"尚發營造股份有限公司無償公益認養/
期間:110.5.20-112.12.31"
